"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"DEDD2","PI5Z_2h","PI5Z","2h",1.06302345344767,9.27340564727747e-09
"DEPDC1","PI5Z_24h","PI5Z","24h",-1.17057600831613,3.32197363427114e-09
"DES","PI5Z_24h","PI5Z","24h",1.42394245873275,1.78152979602297e-08
"DGCR11","PI5Z_8h","PI5Z","8h",-1.33670695855984,4.54337548257071e-08
"DGCR5","PI5Z_24h","PI5Z","24h",1.11861293690854,4.97060520796755e-07
"DGKK","PI5Z_8h","PI5Z","8h",-1.11672656574551,0.000971975466219604
"DHX37","PI5Z_8h","PI5Z","8h",-1.01176496922393,8.0519594465195e-18
"DICER1-AS1","PI5Z_4h","PI5Z","4h",1.22829532857473,6.25962252810456e-06
"DICER1-AS1","PI5Z_8h","PI5Z","8h",1.40616014632271,1.60647701843616e-08
"DIP2C","PI5Z_8h","PI5Z","8h",1.28147487324676,0.000278975623206655
"DKC1","PI5Z_8h","PI5Z","8h",-1.15628846209615,4.76069386133517e-20
"DLEU2","PI5Z_8h","PI5Z","8h",-1.08335312816195,2.99129868763748e-07
"DLX4","PI5Z_8h","PI5Z","8h",1.10887493539051,6.89728215228827e-07
"DMRT1","PI5Z_24h","PI5Z","24h",1.33091786897858,5.86626447764446e-06
"DNAJB1","PI5Z_4h","PI5Z","4h",-1.00955148905408,2.78483887951466e-09
"DNAJB5","PI5Z_24h","PI5Z","24h",1.1574221389285,0.00222713660418931
"DNAJC9","PI5Z_8h","PI5Z","8h",-1.12333549912918,1.68150326447437e-16
"DNAJC9-AS1","PI5Z_2h","PI5Z","2h",1.03733765302229,0.0338157862169214
"DNAJC9-AS1","PI5Z_4h","PI5Z","4h",1.13003064094114,0.00191699153791978
"DNAL4","PI5Z_8h","PI5Z","8h",1.12241876086729,1.92718394957524e-11
"DOC2A","PI5Z_8h","PI5Z","8h",1.03715958018887,0.000520414784483975
"DOC2A","PI5Z_24h","PI5Z","24h",1.19534137775877,0.000127469659392054
"DOCK4","PI5Z_8h","PI5Z","8h",-1.00734910444961,5.91600928014066e-07
"DPH2","PI5Z_8h","PI5Z","8h",-1.32249739031295,2.68421400859627e-17
"DUSP8","PI5Z_2h","PI5Z","2h",-1.02514456270386,1.22559597444155e-06
"DUSP8P5","PI5Z_4h","PI5Z","4h",1.18809472258192,0.00234116293946022
"DYRK1B","PI5Z_2h","PI5Z","2h",-1.16819410453386,0.000498760924768265
"DYRK1B","PI5Z_4h","PI5Z","4h",-1.25825656573748,2.35848864976525e-05
"DZIP3","PI5Z_24h","PI5Z","24h",-1.0322880297748,2.85172147493483e-12
"E2F1","PI5Z_8h","PI5Z","8h",-1.1669648275408,2.65063281542057e-09
"E2F1","PI5Z_24h","PI5Z","24h",1.17913165220926,1.8403394643414e-11
"E2F3","PI5Z_4h","PI5Z","4h",-1.30859960519605,6.61390000440834e-23
"E2F3","PI5Z_8h","PI5Z","8h",-1.23962646309163,3.68386791707655e-22
"E2F3P2","PI5Z_24h","PI5Z","24h",-1.75239782014331,0.0214807328949699
"EBNA1BP2","PI5Z_8h","PI5Z","8h",-1.00416579180973,7.04110094816208e-18
"EBP","PI5Z_24h","PI5Z","24h",1.06578863631097,7.0552994704268e-09
"EDA2R","PI5Z_24h","PI5Z","24h",-1.30559374221389,0.000102475696549436
"EDC3","PI5Z_8h","PI5Z","8h",1.03989873582198,2.85025850196515e-21
"EEF1AKMT4","PI5Z_8h","PI5Z","8h",-1.08364897346457,1.3882901232958e-10
"EEF1E1","PI5Z_8h","PI5Z","8h",-1.15278480162532,1.76218026394723e-15
"EEF2KMT","PI5Z_4h","PI5Z","4h",-1.05692614745731,2.37803997527062e-08
"EEF2KMT","PI5Z_8h","PI5Z","8h",-1.64082746386997,7.10488898737053e-14
"EFNA1","PI5Z_2h","PI5Z","2h",1.29885597665227,3.21939691668621e-17
"EFNA1","PI5Z_4h","PI5Z","4h",1.53550044375336,1.23583804292736e-20
"EID2B","PI5Z_4h","PI5Z","4h",1.12590487121237,1.50106338707494e-07
"EIF1","PI5Z_24h","PI5Z","24h",-1.15488836547284,2.02454474640748e-12
"EIF2AK3-DT","PI5Z_4h","PI5Z","4h",1.79824877150773,0.00584255229056244
