"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"TUBB3","PIPD_24h","PIPD","24h",1.51478062732235,2.8724119502445e-18
"TWNK","PIPD_4h","PIPD","4h",-1.39666487323381,3.84839129044218e-15
"TWNK","PIPD_8h","PIPD","8h",-1.26564297012017,5.40096902743949e-14
"TXLNG","PIPD_24h","PIPD","24h",-1.16928578395143,1.00390560742163e-23
"UBAP1L","PIPD_4h","PIPD","4h",-1.20413006726766,0.00214066569713124
"UBE2G2","PIPD_8h","PIPD","8h",-1.09145471735149,2.2534015223326e-17
"UCHL3","PIPD_24h","PIPD","24h",-1.00382354723145,1.48298349025714e-19
"UCK2","PIPD_8h","PIPD","8h",-1.26878043133937,6.39657430945043e-18
"UCP3","PIPD_24h","PIPD","24h",1.31619321293524,0.00321877820090674
"UFSP1","PIPD_4h","PIPD","4h",-1.03918380105383,0.00203474866700681
"UGT1A6","PIPD_24h","PIPD","24h",1.15748014937391,6.28571296761595e-27
"UNC80","PIPD_4h","PIPD","4h",1.41767743377178,0.00417441278649686
"UNC80","PIPD_8h","PIPD","8h",1.03573248605926,0.00710151378051979
"UNG","PIPD_8h","PIPD","8h",-1.3898987004533,2.71130983711902e-17
"UPK3BL2","PIPD_8h","PIPD","8h",1.06978205912777,0.00570430103610714
"UPK3BL2","PIPD_24h","PIPD","24h",1.44094117604142,6.6871497388636e-06
"USP13","PIPD_24h","PIPD","24h",-1.16967525099357,2.68124952205867e-15
"USP32P2","PIPD_24h","PIPD","24h",1.04702193575429,0.045687319270469
"USP34-DT","PIPD_4h","PIPD","4h",1.15647954217526,0.00343444641353998
"USP34-DT","PIPD_8h","PIPD","8h",1.27612431239613,0.000144152106382882
"USP6","PIPD_8h","PIPD","8h",1.11754045561679,0.00112786133161627
"UTP15","PIPD_8h","PIPD","8h",-1.16844231259915,3.90056579111446e-17
